Dimensión,Subdimensión,Indicadores
Sentido de Pertenencia,Identidad Nacional,¿En qué medida se encuentra usted de acuerdo o en desacuerdo de cada una de las siguientes afirmaciones?
Sentido de Pertenencia,Orgullo Nacional,¿En qué medida se encuentra usted de acuerdo o en desacuerdo de cada una de las siguientes afirmaciones?
Calidad de Vida en el vecindario,Confianza en Vecinos,"En términos generales, ¿cuánto confía usted en sus vecinos?"
Calidad de Vida en el vecindario, Cohesión Barrial,Este es el barrio ideal para mí
Calidad de Vida en el vecindario, Cohesión Barrial,Me siento integrado/a en este barrio
Calidad de Vida en el vecindario, Cohesión Barrial,Me identifico con la gente de este barrio
Calidad de Vida en el vecindario, Cohesión Barrial,Este barrio es parte de mí
Calidad de Vida en el vecindario,Sociabilidad Barrial,En este barrio es fácil hacer amigos
Calidad de Vida en el vecindario,Sociabilidad Barrial,La gente en este barrio es sociable
Calidad de Vida en el vecindario,Sociabilidad Barrial,La gente en este barrio es cordial
Calidad de Vida en el vecindario,Sociabilidad Barrial,La gente en este barrio es colaboradora
Calidad de Vida en el vecindario,Satisfacción Residencial,Satisfacción con la seguridad
Calidad de Vida en el vecindario,Satisfacción Residencial,Satisfacción con la conectividad
Calidad de Vida en el vecindario,Satisfacción Residencial,Satisfacción con la limpieza y belleza del barrio
Calidad de Vida en el vecindario,Satisfacción Residencial,Satisfacción ocn la proximidad al lugar donde realiza su principal actividad
Calidad de Vida en el vecindario,Satisfacción Residencial,"Satisfacción con la proximidad a colegios, escuelas o liceos de buena calidad"
Calidad de Vida en el vecindario,Satisfacción Residencial,Satisfacción con la proximidad a áreas de comercio
Calidad de Vida en el vecindario,Satisfacción Residencial,Satisfacción con la proximidad con familiares y/o amigos cercanos
Calidad de Vida en el vecindario,Satisfacción Residencial,Satisfacción con el tamaño de la vivenda
Calidad de Vida en el vecindario,Satisfacción Residencial,Satisfacción con la calidad de la vivienda
Redes Sociales,Confianza Interpersonal,Se puede confiar en la mayoría de las personas
Redes Sociales,Confianza Interpersonal,Las personas tratan de ayudar a los demás o se preocupan de ellas mismas
Redes Sociales,Confianza Interpersonal,"La mayoría de la gente intentaía aprovecharse de usted si tuviera la oportunidad, o sería justa"
Redes Sociales,Comportamiento Prosocial,Ha visitado la casa de algún vecino
Redes Sociales,Comportamiento Prosocial,Ha asistido a alguna reunión donde se traten temas de interés público o comunitario
Redes Sociales,Comportamiento Prosocial,Han venido amigos a visitarlo a su casa
Redes Sociales,Comportamiento Prosocial,Ha hecho voluntariado
Redes Sociales,Comportamiento Prosocial,Ha donado dinero a una obra social o de caridad
Redes Sociales,Comportamiento Prosocial,Ha prestado una suma de dinero de $10.000.- o más
Redes Sociales,Comportamiento Prosocial,Ha conversado con una persona en problemas o deprimida
Redes Sociales,Comportamiento Prosocial,Ha ayudado a alguien a conseguir trabajo
