Dimensión;Subdimensión;Indicador;Encabezado
Confianza en instituciones y satisfacción con la democracia;Confianza en instituciones;El gobierno;"“Utilizando una escala donde 1 representa”Nada"" y 5 “Mucha”, ¿podría decirme cuánto confía usted en cada una de las siguientes instituciones?”"
Confianza en instituciones y satisfacción con la democracia;Confianza en instituciones;Los partidos políticos;"“Utilizando una escala donde 1 representa”Nada"" y 5 “Mucha”, ¿podría decirme cuánto confía usted en cada una de las siguientes instituciones?”"
Confianza en instituciones y satisfacción con la democracia;Confianza en instituciones;Carabineros;"“Utilizando una escala donde 1 representa”Nada"" y 5 “Mucha”, ¿podría decirme cuánto confía usted en cada una de las siguientes instituciones?”"
Confianza en instituciones y satisfacción con la democracia;Confianza en instituciones;Los sindicatos;"“Utilizando una escala donde 1 representa”Nada"" y 5 “Mucha”, ¿podría decirme cuánto confía usted en cada una de las siguientes instituciones?”"
Confianza en instituciones y satisfacción con la democracia;Confianza en instituciones;El poder judicial;"“Utilizando una escala donde 1 representa”Nada"" y 5 “Mucha”, ¿podría decirme cuánto confía usted en cada una de las siguientes instituciones?”"
Confianza en instituciones y satisfacción con la democracia;Confianza en instituciones;Las empresas privadas;"“Utilizando una escala donde 1 representa”Nada"" y 5 “Mucha”, ¿podría decirme cuánto confía usted en cada una de las siguientes instituciones?”"
Confianza en instituciones y satisfacción con la democracia;Confianza en instituciones;El congreso nacional;"“Utilizando una escala donde 1 representa”Nada"" y 5 “Mucha”, ¿podría decirme cuánto confía usted en cada una de las siguientes instituciones?”"
Confianza en instituciones y satisfacción con la democracia;Confianza en instituciones;El presidente de la república;"“Utilizando una escala donde 1 representa”Nada"" y 5 “Mucha”, ¿podría decirme cuánto confía usted en cada una de las siguientes instituciones?”"
Confianza en instituciones y satisfacción con la democracia;Actitud hacia la democracia;;¿Cuán satisfecho o insatisfecho está usted con el funcionamiento de la democracia en Chile?
Participación política;Participación ciudadana;Firmado una carta o una petición apoyando una causa;“Durante los últimos 12 meses, con cuánta frecuencia usted ha …”
Participación política;Participación ciudadana;Asistido a una marcha o manifestación pacífica;“Durante los últimos 12 meses, con cuánta frecuencia usted ha …”
Participación política;Participación ciudadana;Participado en una huelga;“Durante los últimos 12 meses, con cuánta frecuencia usted ha …”
Participación política;Participación ciudadana;Usado las redes sociales para expresar su opinión en temas público;“Durante los últimos 12 meses, con cuánta frecuencia usted ha …”
Participación política;Interés político;;¿Qué tan interesado está usted en la política?
Participación política;Interés político;Habla de política con familiares o amigos;¿Con qué frecuencia realiza usted las siguientes actividades?
Participación política;Interés político;Se informa activamente sobre política en medios tales como televisión, radios, diarios o internet;¿Con qué frecuencia realiza usted las siguientes actividades?
Percepción de justicia (distributiva);Justicia distributiva y meritocracia;En Chile las personas son recompensadas por sus esfuerzos;¿En qué medida se encuentra usted de acuerdo o en desacuerdo con cada una de las siguientes afirmaciones?
Percepción de justicia (distributiva);Justicia distributiva y meritocracia;En Chile las personas son recompensadas por su inteligencia y habilidades;¿En qué medida se encuentra usted de acuerdo o en desacuerdo con cada una de las siguientes afirmaciones?
Percepción de justicia (distributiva);Surgir en la vida;Provenir de una familia rica o con muchos recursos;Actualmente en Chile, ¿Cuán importante es para surgir en la vida…?
Percepción de justicia (distributiva);Surgir en la vida;Tener un buen nivel de educación;Actualmente en Chile, ¿Cuán importante es para surgir en la vida…?
Percepción de justicia (distributiva);Surgir en la vida;Tener ambición;Actualmente en Chile, ¿Cuán importante es para surgir en la vida…?
Percepción de justicia (distributiva);Surgir en la vida;Trabajo duro;Actualmente en Chile, ¿Cuán importante es para surgir en la vida…?
